,State,District,Aspirant_District
0,Andaman and Nicobar,Nicobar,0
1,Andaman and Nicobar,North Middle Andaman,0
2,Andaman and Nicobar,South Andaman,0
3,Andhra Pradesh,Anantapur,0
4,Andhra Pradesh,Chittoor,0
5,Andhra Pradesh,East Godavari,0
6,Andhra Pradesh,Guntur,0
7,Andhra Pradesh,Krishna,0
8,Andhra Pradesh,Kurnool,0
9,Andhra Pradesh,Prakasam,0
10,Andhra Pradesh,Srikakulam,0
11,Andhra Pradesh,Sri Potti Sriramulu Nellore,0
12,Andhra Pradesh,Visakhapatnam,1
13,Andhra Pradesh,Vizianagaram,1
14,Andhra Pradesh,West Godavari,0
15,Andhra Pradesh,Kadapa,1
16,Arunachal Pradesh,Anjaw,0
17,Arunachal Pradesh,Changlang,0
18,Arunachal Pradesh,Dibang Valley,0
19,Arunachal Pradesh,East Kameng,0
20,Arunachal Pradesh,East Siang,0
21,Arunachal Pradesh,Kra Daadi,0
22,Arunachal Pradesh,Kurung Kumey,0
23,Arunachal Pradesh,Lohit,0
24,Arunachal Pradesh,Longding,0
25,Arunachal Pradesh,Lower Dibang Valley,0
26,Arunachal Pradesh,Lower Siang,0
27,Arunachal Pradesh,Lower Subansiri,0
28,Arunachal Pradesh,Namsai,1
29,Arunachal Pradesh,Papum Pare,0
30,Arunachal Pradesh,Siang,0
31,Arunachal Pradesh,Tawang,0
32,Arunachal Pradesh,Tirap,0
33,Arunachal Pradesh,Upper Siang,0
34,Arunachal Pradesh,Upper Subansiri,0
35,Arunachal Pradesh,West Kameng,0
36,Arunachal Pradesh,West Siang,0
37,Assam,Baksa,1
38,Assam,Barpeta,1
39,Assam,Biswanath,0
40,Assam,Bongaigaon,0
41,Assam,Cachar,0
42,Assam,Charaideo,0
43,Assam,Chirang,0
44,Assam,Darrang,1
45,Assam,Dhemaji,0
46,Assam,Dhubri,1
47,Assam,Dibrugarh,0
48,Assam,Dima Hasao ,0
49,Assam,Goalpara,1
50,Assam,Golaghat,0
51,Assam,Hailakandi,1
52,Assam,Hojai,0
53,Assam,Jorhat,0
54,Assam,Kamrup,0
55,Assam,Kamrup Metropolitan,0
56,Assam,Karbi Anglong,0
57,Assam,Karimganj,0
58,Assam,Kokrajhar,0
59,Assam,Lakhimpur,0
60,Assam,Majuli,0
61,Assam,Morigaon,0
62,Assam,Nagaon,0
63,Assam,Nalbari,0
64,Assam,Sivasagar,0
65,Assam,Sonitpur,0
66,Assam,South Salamara-Mankachar,0
67,Assam,Tinsukia,0
68,Assam,Udalguri,1
69,Assam,West Karbi Anglong,0
70,Bihar,Araria,1
71,Bihar,Arwal,0
72,Bihar,Aurangabad,1
73,Bihar,Banka,1
74,Bihar,Begusarai,1
75,Bihar,Bhagalpur,0
76,Bihar,Bhojpur,0
77,Bihar,Buxar,0
78,Bihar,Darbhanga,0
79,Bihar,East Champaran (Motihari),0
80,Bihar,Gaya,1
81,Bihar,Gopalganj,0
82,Bihar,Jamui,1
83,Bihar,Jehanabad,0
84,Bihar,Kaimur ,0
85,Bihar,Katihar,1
86,Bihar,Khagaria,1
87,Bihar,Kishanganj,0
88,Bihar,Lakhisarai,0
89,Bihar,Madhepura,0
90,Bihar,Madhubani,0
91,Bihar,Munger,0
92,Bihar,Muzaffarpur,1
93,Bihar,Nalanda,0
94,Bihar,Nawada,1
95,Bihar,Patna,0
96,Bihar,Purnia,1
97,Bihar,Rohtas,0
98,Bihar,Saharsa,0
99,Bihar,Samastipur,0
100,Bihar,Saran,0
101,Bihar,Sheikhpura,1
102,Bihar,Sheohar,0
103,Bihar,Sitamarhi,1
104,Bihar,Siwan,0
105,Bihar,Supaul,0
106,Bihar,Vaishali,0
107,Bihar,West Champaran,0
108,Chandigarh,Chandigarh,0
109,Chhattisgarh,Balod,0
110,Chhattisgarh,Baloda Bazar,0
111,Chhattisgarh,Balrampur,0
112,Chhattisgarh,Bastar,1
113,Chhattisgarh,Bemetara,0
114,Chhattisgarh,Bijapur,1
115,Chhattisgarh,Bilaspur,0
116,Chhattisgarh,Dantewada ,1
117,Chhattisgarh,Dhamtari,0
118,Chhattisgarh,Durg,0
119,Chhattisgarh,Gariaband,0
120,Chhattisgarh,Janjgir Champa,0
121,Chhattisgarh,Jashpur,0
122,Chhattisgarh,Kabirdham,0
123,Chhattisgarh,Kanker,1
124,Chhattisgarh,Kondagaon,1
125,Chhattisgarh,Korba,1
126,Chhattisgarh,Koriya,0
127,Chhattisgarh,Mahasamund,1
128,Chhattisgarh,Mungeli,0
129,Chhattisgarh,Narayanpur,1
130,Chhattisgarh,Raigarh,0
131,Chhattisgarh,Raipur,0
132,Chhattisgarh,Rajnandgaon,1
133,Chhattisgarh,Sukma,1
134,Chhattisgarh,Surajpur,0
135,Chhattisgarh,Surguja,0
136,Dadra and Nagar Haveli,Dadra And Nagar Haveli,0
137,Daman and Diu,Daman,0
138,Daman and Diu,Diu,0
139,Delhi,Central Delhi,0
140,Delhi,East Delhi,0
141,Delhi,New Delhi,0
142,Delhi,North Delhi,0
143,Delhi,North East  Delhi,0
144,Delhi,North West  Delhi,0
145,Delhi,Shahdara,0
146,Delhi,South Delhi,0
147,Delhi,South East Delhi,0
148,Delhi,South West  Delhi,0
149,Delhi,West Delhi,0
150,Goa,North Goa,0
151,Goa,South Goa,0
152,Gujarat,Ahmedabad,0
153,Gujarat,Amreli,0
154,Gujarat,Anand,0
155,Gujarat,Aravalli,0
156,Gujarat,Banaskantha,0
157,Gujarat,Bharuch,0
158,Gujarat,Bhavnagar,0
159,Gujarat,Botad,0
160,Gujarat,Chhota Udaipur,0
161,Gujarat,Dahod,0
162,Gujarat,Dang,0
163,Gujarat,Devbhoomi Dwarka,0
164,Gujarat,Gandhinagar,0
165,Gujarat,Gir Somnath,0
166,Gujarat,Jamnagar,0
167,Gujarat,Junagadh,0
168,Gujarat,Kutch,0
169,Gujarat,Kheda,0
170,Gujarat,Mahisagar,0
171,Gujarat,Mehsana,0
172,Gujarat,Morbi,1
173,Gujarat,Narmada,1
174,Gujarat,Navsari,0
175,Gujarat,Panchmahal,0
176,Gujarat,Patan,0
177,Gujarat,Porbandar,0
178,Gujarat,Rajkot,0
179,Gujarat,Sabarkantha,0
180,Gujarat,Surat,0
181,Gujarat,Surendranagar,0
182,Gujarat,Tapi,0
183,Gujarat,Vadodara,0
184,Gujarat,Valsad,0
185,Haryana,Ambala,0
186,Haryana,Bhiwani,0
187,Haryana,Charkhi Dadri,0
188,Haryana,Faridabad,0
189,Haryana,Fatehabad,0
190,Haryana,Gurugram,0
191,Haryana,Hisar,0
192,Haryana,Jhajjar,0
193,Haryana,Jind,0
194,Haryana,Kaithal,0
195,Haryana,Karnal,0
196,Haryana,Kurukshetra,0
197,Haryana,Mahendragarh,0
198,Haryana,Mewat,1
199,Haryana,Palwal,0
200,Haryana,Panchkula,0
201,Haryana,Panipat,0
202,Haryana,Rewari,0
203,Haryana,Rohtak,0
204,Haryana,Sirsa,0
205,Haryana,Sonipat,0
206,Haryana,Yamunanagar,0
207,Himachal Pradesh,Bilaspur,0
208,Himachal Pradesh,Chamba,1
209,Himachal Pradesh,Hamirpur,0
210,Himachal Pradesh,Kangra,0
211,Himachal Pradesh,Kinnaur,0
212,Himachal Pradesh,Kullu,0
213,Himachal Pradesh,Lahaul Spiti,0
214,Himachal Pradesh,Mandi,0
215,Himachal Pradesh,Shimla,0
216,Himachal Pradesh,Sirmaur ,0
217,Himachal Pradesh,Solan,0
218,Himachal Pradesh,Una,0
219,Jammu and Kashmir,Anantnag,0
220,Jammu and Kashmir,Bandipore,0
221,Jammu and Kashmir,Baramulla,1
222,Jammu and Kashmir,Budgam,0
223,Jammu and Kashmir,Doda,0
224,Jammu and Kashmir,Ganderbal,0
